step,epoch,loss
5,0.45454545454545453,1.4280454635620117
10,0.9090909090909091,1.3850590705871582
15,1.3636363636363638,1.2557490348815918
20,1.8181818181818183,1.0479572296142579
25,2.2727272727272725,0.9050732612609863
30,2.7272727272727275,0.7836410999298096
35,3.1818181818181817,0.6935571193695068
40,3.6363636363636362,0.6206952571868897
45,4.090909090909091,0.5187665462493897
50,4.545454545454545,0.482483959197998
55,5.0,0.457337760925293
60,5.454545454545454,0.40610575675964355
65,5.909090909090909,0.40232272148132325
70,6.363636363636363,0.3615387439727783
75,6.818181818181818,0.3649288177490234
80,7.2727272727272725,0.3540558099746704
85,7.7272727272727275,0.34753265380859377
90,8.181818181818182,0.3228591442108154
95,8.636363636363637,0.3090141773223877
100,9.090909090909092,0.3017617464065552
105,9.545454545454545,0.3237028121948242
110,10.0,0.30646381378173826
